# Updated 15/11/14 00:12 by Minecraft 1.6.2
# victim name | ban date | banned by | banned until | reason

77.194.15.242|2013-06-12 14:34:02 +0200|(Unknown)|Forever|Banned by an operator.
183.166.38.186|2013-06-13 20:04:42 +0200|(Unknown)|Forever|Banned by an operator.
221.232.247.27|2013-06-13 20:04:49 +0200|(Unknown)|Forever|Banned by an operator.
201.229.38.114|2013-06-13 20:05:46 +0200|(Unknown)|Forever|Banned by an operator.
202.108.251.214|2013-06-13 20:05:25 +0200|(Unknown)|Forever|Banned by an operator.
58.56.5.99|2013-06-13 21:47:18 +0200|(Unknown)|Forever|Banned by an operator.
183.232.25.39|2013-06-13 20:05:35 +0200|(Unknown)|Forever|Banned by an operator.
178.151.68.210|2013-06-13 20:05:55 +0200|(Unknown)|Forever|Banned by an operator.
176.102.64.5|2013-06-13 20:06:05 +0200|(Unknown)|Forever|Banned by an operator.
120.197.85.173|2013-06-13 20:06:42 +0200|(Unknown)|Forever|Banned by an operator.
82.221.102.245|2013-06-13 21:47:24 +0200|(Unknown)|Forever|Banned by an operator.
218.62.29.154|2013-06-13 21:47:55 +0200|(Unknown)|Forever|Banned by an operator.
59.90.11.34|2013-06-13 21:46:55 +0200|(Unknown)|Forever|Banned by an operator.
61.155.9.130|2013-06-13 21:47:36 +0200|(Unknown)|Forever|Banned by an operator.
122.225.242.139|2013-06-13 21:47:48 +0200|(Unknown)|Forever|Banned by an operator.
183.136.146.110|2013-06-13 22:22:06 +0200|(Unknown)|Forever|Banned by an operator.
69.114.255.121|2013-06-13 22:22:11 +0200|(Unknown)|Forever|Banned by an operator.
77.247.181.164|2013-06-13 22:22:34 +0200|(Unknown)|Forever|Banned by an operator.
5.135.152.208|2013-06-13 22:22:54 +0200|(Unknown)|Forever|Banned by an operator.
61.136.68.76|2013-06-13 22:23:02 +0200|(Unknown)|Forever|Banned by an operator.
201.247.103.161|2013-06-13 22:23:15 +0200|(Unknown)|Forever|Banned by an operator.
222.178.37.42|2013-06-13 22:23:47 +0200|(Unknown)|Forever|Banned by an operator.
83.157.179.44|2013-06-16 18:13:44 +0200|(Unknown)|Forever|Banned by an operator.
88.150.205.237|2013-06-16 18:59:43 +0200|(Unknown)|Forever|Banned by an operator.
117.41.235.26|2013-06-16 18:56:06 +0200|(Unknown)|Forever|Banned by an operator.
103.28.36.35|2013-06-16 18:56:12 +0200|(Unknown)|Forever|Banned by an operator.
122.192.127.44|2013-06-16 18:56:21 +0200|(Unknown)|Forever|Banned by an operator.
118.126.15.5|2013-06-17 21:53:44 +0200|(Unknown)|Forever|Banned by an operator.
60.251.11.26|2013-06-17 21:53:55 +0200|(Unknown)|Forever|Banned by an operator.
37.114.69.17|2013-06-23 20:12:23 +0200|(Unknown)|Forever|Banned by an operator.
88.165.36.22|2013-07-09 19:01:58 +0200|(Unknown)|Forever|Banned by an operator.
88.191.237.130|2013-07-10 10:53:35 +0200|(Unknown)|Forever|Banned by an operator.
88.187.33.126|2013-07-10 10:53:56 +0200|(Unknown)|Forever|Banned by an operator.
92.147.205.184|2013-07-13 12:04:32 +0200|(Unknown)|Forever|Banned by an operator.
92.147.215.184|2013-07-14 14:34:19 +0200|(Unknown)|Forever|Banned by an operator.
86.198.254.150|2013-07-14 16:12:16 +0200|(Unknown)|Forever|Banned by an operator.
92.147.81.217|2013-07-24 18:56:32 +0200|(Unknown)|Forever|Banned by an operator.
